"","REGION","CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_CARC_FAC_DENOM_TOTAL_IN_HUC","PERC_CARC_FAC_DENOM_TOTAL_OF_REGION","AT_LEAST_CARC_POP_WITH_POINT_SOURCE_IN_HUC","JUV_CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_JUV_CARC_FAC_DENOM_TOTAL_IN_HUC","PERC_JUV_CARC_FAC_DENOM_TOTAL_OF_REGION","AT_LEAST_JUV_CARC_POP_WITH_POINT_SOURCE_IN_HUC","NON_JUV_CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_NON_JUV_CARC_FAC_DENOM_TOTAL_IN_HUC","PERC_NON_JUV_CARC_FAC_DENOM_TOTAL_OF_REGION","AT_LEAST_NON_JUV_CARC_POP_WITH_POINT_SOURCE_IN_HUC"
"1","EAST NORTH CENTRAL",25,8.06451612903226,2.98329355608592,17023,4,7.01754385964912,2.87769784172662,298,21,8.300395256917,3.00429184549356,16725
"2","EAST SOUTH CENTRAL",13,4.19354838709677,2.26480836236934,4486,1,1.75438596491228,1.23456790123457,0,12,4.74308300395257,2.4340770791075,4486
"3","MID ATLANTIC",13,4.19354838709677,3.11750599520384,5042,4,7.01754385964912,3.84615384615385,137,9,3.55731225296443,2.87539936102236,4905
"4","MOUNTAIN",31,10,5.97302504816956,23762,5,8.7719298245614,5.68181818181818,92,26,10.2766798418972,6.03248259860789,23670
"5","NEW ENGLAND",33,10.6451612903226,23.5714285714286,9668,3,5.26315789473684,17.6470588235294,73,30,11.8577075098814,24.390243902439,9595
"6","OUTLYING",5,1.61290322580645,11.1111111111111,607,1,1.75438596491228,16.6666666666667,0,4,1.58102766798419,10.2564102564103,607
"7","PACIFIC",81,26.1290322580645,13.2137030995106,44010,16,28.0701754385965,11.1888111888112,1006,65,25.6916996047431,13.8297872340426,43004
"8","SOUTH ATLANTIC",67,21.6129032258065,5.3343949044586,36228,13,22.8070175438596,7.34463276836158,518,54,21.3438735177866,5.00463392029657,35710
"9","WEST NORTH CENTRAL",27,8.70967741935484,3.37922403003755,3676,6,10.5263157894737,4.37956204379562,76,21,8.300395256917,3.17220543806647,3600
"10","WEST SOUTH CENTRAL",15,4.83870967741935,1.63576881134133,8093,4,7.01754385964912,3.53982300884956,87,11,4.34782608695652,1.3681592039801,8006
