"","PFAS_INDUSTRY","CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_CARC_FAC_WITH_POINT_SOURCE_IN_HUC","AT_LEAST_CARC_POP_WITH_POINT_SOURCE_IN_HUC","JUV_CARC_FAC_WITH_POINT_SOURCE_IN_HUC","PERC_JUV_CARC_FAC_WITH_POINT_SOURCE_IN_HUC","AT_LEAST_JUV_CARC_POP_WITH_POINT_SOURCE_IN_HUC"
"1","Airport",19,0.31055900621118,5476,4,0.398009950248756,15
"2","Dry Cleaner",9,0.14710689767898,4151,0,0,0
"3","Fire Department/Training Facility",21,0.34324942791762,10255,5,0.497512437810945,226
"4","Industry",52,0.84995096436744,25559,12,1.19402985074627,423
"5","Landfill",92,1.50375939849624,41720,17,1.69154228855721,1077
"6","Military",130,2.1248774109186,75036,25,2.48756218905473,668
"7","Other",1,0.01634521085322,0,0,0,0
"8","Superfund Site",10,0.1634521085322,5714,1,0.099502487562189,125
"9","Unknown",14,0.22883295194508,3137,1,0.099502487562189,0
"10","Waste",4,0.06538084341288,144,1,0.099502487562189,0
"11","WWTP",12,0.19614253023864,1257,1,0.099502487562189,5
